"PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherThrows","PitcherTeam","Batter","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","EffectiveVelo","MaxHeight","SpeedDrop","ContactPositionX","ContactPositionY","ContactPositionZ","UTCDate","UTCTime","AutoHitType","System","Catcher","CatcherThrows","CatcherTeam","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence"
79,2024-06-01,1899-12-31 00:17:50.9,3,5,"Pitcher 2","Left","USA","Hitter 15","Right","Visitors","Undefined",2,"Bottom",1,3,1,"Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined",0,0,93.62935,0.26663,4.030873,2100.67289,105.047684,1899-12-31 09:30:00,4.68397,-3.19386,6.32792,-25.8047,5.39803,-16.66654,2.77973,"-0.86458000000000002",86.0448,-4.551907,1.023674,0.402039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66839,3.03784,2.90661,50,4.69126,-8.87769,-135.93907,-0.23651,18.22835,27.69399,-26.44665,"Visitors","USA","Coleman Field","USA Baseball","USA",93.75328,NA,7.58456,NA,NA,NA,2024-06-01,1899-12-31 00:17:50.9,NA,"v3","Catcher 2","Right","USA",54.17385,-136.78674,13.847,4.68611,0.57298,-13.22333,3.18688,-9.43563,9.11418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
80,2024-06-01,1899-12-31 00:18:06.9,3,6,"Pitcher 2","Left","USA","Hitter 15","Right","Visitors","Undefined",2,"Bottom",1,3,2,"Sinker","Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,95.14837,-0.178339,4.262327,2201.654951,109.420513,1899-12-31 09:45:00,4.72125,-3.1326,6.28422,-23.81989,6.44319,-15.76194,2.57144,"-0.51041999999999998",87.49817,-4.627593,1.422149,0.395939,80.68723,8.542555,166.139636,957.24942,NA,NA,NA,114.44646,52.30061,166.209565,1.080746,9.27008,3.6704,2.82511,50,4.69646,-9.6232,-138.1073,-1.24258,18.05076,28.40169,-25.02703,"Visitors","USA","Coleman Field","USA Baseball","USA",95.19766,6.41134,7.65019,-0.55594,2.39998,0.44392,2024-06-01,1899-12-31 00:18:06.9,"GroundBall","v3","Catcher 2","Right","USA",54.21789,-138.972,14.20084,4.7227,-0.48063,-12.51351,3.12645,-10.17276,9.02538,347.128537,-0.61916,-112.81529,9.80524,NA,NA,NA,NA,NA,NA,2.47872,16.58559,-17.53062,NA,NA,NA,NA,NA,NA,0.46398,27.77918,-2.75965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Medium",NA,NA,NA
81,2024-06-01,1899-12-31 00:18:28.1,3,7,"Pitcher 2","Left","USA","Hitter 15","Right","Visitors","Undefined",2,"Bottom",1,3,2,"Slider","Slider","BallCalled","Walk","Undefined","Undefined",0,0,84.55539,1.124145,3.346222,2387.888832,296.558589,1899-12-31 04:00:00,4.69923,-3.17582,5.63973,-44.7964,-5.25114,12.88083,2.01685,"1.02285",77.77241,-7.039046,5.639476,0.452604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.63886,-2.68095,2.88262,50,4.76596,-7.69167,-122.66389,0.81728,-8.5801,24.56177,-36.25339,"Visitors","USA","Coleman Field","USA Baseball","USA",83.27901,NA,6.78298,NA,NA,NA,2024-06-01,1899-12-31 00:18:28.1,NA,"v3","Catcher 2","Right","USA",54.86346,-123.6339,12.28089,4.70542,2.24902,-18.12669,3.17969,-7.35282,-4.29005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
82,2024-06-01,1899-12-31 00:19:01,4,1,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,0,0,"Slider","Slider","StrikeCalled","Undefined","Undefined","Undefined",0,0,83.65489,1.406671,2.737461,2382.435149,297.111988,1899-12-31 04:00:00,4.5312,-3.26994,5.7486,-45.9851,-5.00036,12.66296,2.01049,"0.33584000000000003",75.45054,-7.047456,4.999122,0.460768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.47768,-2.53854,3.03473,50,4.62064,-6.31778,-121.15642,1.36343,-7.97082,28.31023,-35.86801,"Visitors","USA","Coleman Field","USA Baseball","USA",81.80346,NA,8.20435,NA,NA,NA,2024-06-01,1899-12-31 00:19:01,NA,"v3","Catcher 2","Right","USA",54.75033,-122.26137,14.15512,4.54011,2.76337,-17.934,3.27524,-6.00667,-3.98541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
83,2024-06-01,1899-12-31 00:19:14.1,4,2,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,0,1,"Sinker","Sinker","StrikeSwinging","Undefined","Undefined","Undefined",0,0,93.89062,0.291077,4.445131,2229.862319,111.671091,1899-12-31 09:45:00,4.64709,-3.07098,6.37453,-24.25316,7.07591,-15.22981,2.89463,"-0.24201",85.37065,-4.270407,1.697896,0.402852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.13123,3.92748,2.75585,50,4.65705,-9.92332,-136.09332,-0.1038,17.0731,30.71972,-24.83067,"Visitors","USA","Coleman Field","USA Baseball","USA",93.56406,NA,8.51997,NA,NA,NA,2024-06-01,1899-12-31 00:19:14.1,NA,"v3","Catcher 2","Right","USA",54.12475,-137.02122,15.35986,4.64886,0.64622,-12.41534,3.06337,-10.43901,8.53655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
84,2024-06-01,1899-12-31 00:19:30.1,4,3,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,0,2,"ChangeUp","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,84.42012,0.551369,1.023226,2544.498333,271.996699,1899-12-31 03:00:00,4.72566,-3.32113,5.85023,-38.7353,0.74106,15.5545,2.01017,"-1.0740000000000001",77.04675,-6.592363,3.813174,0.45221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.6026,0.63646,3.22905,50,4.74812,-2.82552,-122.5889,-0.14338,-11.48423,25.89688,-31.21265,"Visitors","USA","Coleman Field","USA Baseball","USA",83.35167,NA,7.37338,NA,NA,NA,2024-06-01,1899-12-31 00:19:30.1,NA,"v3","Catcher 2","Right","USA",54.64981,-123.56727,12.94844,4.73127,1.03582,-15.60633,3.3276,-2.39165,-5.74212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
85,2024-06-01,1899-12-31 00:19:46.4,4,4,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,1,2,"Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,95.06217,0.800632,4.159352,2220.217758,106.119441,1899-12-31 09:30:00,4.76071,-3.15204,6.58649,-24.51541,5.96772,-17.00836,3.45344,"-0.75114000000000003",85.86648,-3.836084,1.076874,0.397376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.12686,3.21587,2.87283,50,4.80565,-9.29833,-137.80979,1.14191,19.27791,33.51698,-26.05217,"Visitors","USA","Coleman Field","USA Baseball","USA",94.85345,NA,9.19569,NA,NA,NA,2024-06-01,1899-12-31 00:19:46.4,NA,"v3","Catcher 2","Right","USA",53.91256,-138.75811,16.75849,4.76291,1.87902,-13.02608,3.14363,-9.84377,9.63896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
86,2024-06-01,1899-12-31 00:20:03,4,5,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,2,2,"Fastball","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,94.09809,-1.073209,5.480576,2330.363322,128.798262,1899-12-31 10:15:00,4.7107,-3.01017,6.52898,-19.69718,11.50725,-12.9941,2.08008,"0.95018999999999998",85.34646,-4.820741,3.13637,0.402049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45981,6.6663,2.63363,50,4.62723,-12.53551,-136.17082,-3.14622,15.77458,31.83069,-19.74377,"Visitors","USA","Coleman Field","USA Baseball","USA",93.75075,NA,8.75163,NA,NA,NA,2024-06-01,1899-12-31 00:20:03,NA,"v3","Catcher 2","Right","USA",53.97129,-137.09599,15.91534,4.71034,-2.57237,-9.87189,3.00465,-12.994,7.88729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
87,2024-06-01,1899-12-31 00:20:20.5,4,6,"Pitcher 2","Left","USA","Hitter 16","Right","Visitors","Undefined",2,"Bottom",1,3,2,"Sinker","Sinker","StrikeSwinging","Strikeout","Undefined","Undefined",0,0,93.88037,0.029387,3.766626,2224.421394,104.525621,1899-12-31 09:30:00,4.76311,-3.15551,6.39616,-25.76431,5.50823,-17.30714,2.64318,"-1.1285799999999999",85.40687,-4.808091,0.637757,0.402488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00627,3.20264,2.89161,50,4.75367,-8.21855,-136.20239,-0.7913,18.72592,30.96677,-26.18053,"Visitors","USA","Coleman Field","USA Baseball","USA",93.64863,NA,8.4735,NA,NA,NA,2024-06-01,1899-12-31 00:20:20.5,NA,"v3","Catcher 2","Right","USA",54.10326,-137.13213,15.48338,4.76563,-0.00526,-13.09027,3.1468,-8.78077,9.36296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
88,2024-06-01,1899-12-31 00:20:46.2,5,1,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,0,0,"Slider","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,83.96276,0.541736,4.398612,2462.891108,271.534072,1899-12-31 03:00:00,4.65877,-3.92434,5.88484,-39.36793,0.92484,15.52528,1.88268,"1.4621599999999999",76.45838,-6.700187,7.165627,0.456862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.54209,0.71618,3.55987,50,4.68018,-9.96929,-121.53153,-0.16372,-9.65523,26.75216,-31.11708,"Visitors","USA","Coleman Field","USA Baseball","USA",82.50288,NA,7.50439,NA,NA,NA,2024-06-01,1899-12-31 00:20:46.2,NA,"v3","Catcher 2","Right","USA",54.61497,-122.54319,13.37608,4.66412,1.01301,-15.55854,3.92997,-9.60417,-4.82761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
89,2024-06-01,1899-12-31 00:21:03.6,5,2,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,1,0,"Sinker","Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,93.08639,0.112809,4.460788,2121.942388,112.429644,1899-12-31 09:45:00,4.77809,-3.72716,6.73873,-23.26627,8.24713,-17.41308,2.94263,"-1.09406",84.41184,-4.307738,1.29725,0.404035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48611,4.6426,3.43878,50,4.77657,-9.83531,-134.9925,-0.42357,19.2168,31.26998,-23.66602,"Visitors","USA","Coleman Field","USA Baseball","USA",93.29001,NA,8.67455,NA,NA,NA,2024-06-01,1899-12-31 00:21:03.6,NA,"v3","Catcher 2","Right","USA",53.76143,-135.86101,15.63499,4.77921,0.23375,-11.83301,3.71937,-10.36905,9.6084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
90,2024-06-01,1899-12-31 00:21:20.4,5,3,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,1,1,"Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined",0,0,95.16474,-0.100285,6.393509,2159.050727,115.46081,1899-12-31 09:45:00,4.66348,-3.71854,6.39589,-21.75647,9.04981,-16.75576,2.75763,"0.78983999999999999",85.97545,-4.21259,3.386039,0.399476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57516,5.06614,3.26453,50,4.64631,-14.66867,-137.44329,-0.93832,20.0685,32.71892,-22.55998,"Visitors","USA","Coleman Field","USA Baseball","USA",94.35461,NA,9.18928,NA,NA,NA,2024-06-01,1899-12-31 00:21:20.4,NA,"v3","Catcher 2","Right","USA",54.10291,-138.41656,16.35946,4.66424,-0.26724,-11.27999,3.70975,-15.26563,10.03425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
91,2024-06-01,1899-12-31 00:21:33.5,5,4,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,1,2,"Slider","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,82.36871,0.462222,5.159111,2418.965136,275.324226,1899-12-31 03:15:00,4.60797,-4.00586,5.93481,-42.249,-0.15327,17.20308,1.5178,"2.2271100000000001",74.813,-7.30027,8.220448,0.466972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.0239,0.27559,3.58386,50,4.62194,-11.43398,-119.03216,-0.42749,-9.89285,26.75009,-31.78588,"Visitors","USA","Coleman Field","USA Baseball","USA",80.71679,NA,7.55571,NA,NA,NA,2024-06-01,1899-12-31 00:21:33.5,NA,"v3","Catcher 2","Right","USA",54.56342,-120.05332,13.37504,4.6151,0.7859,-15.89294,4.01313,-11.05634,-4.94642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
92,2024-06-01,1899-12-31 00:21:50,5,5,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,2,2,"Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,92.53766,-0.855553,6.633705,2101.288334,119.311734,1899-12-31 10:00:00,4.74835,-3.78577,6.62707,-22.51509,9.58615,-15.20812,2.08334,"1.0484899999999999",84.30959,-5.111591,3.89425,0.407786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79449,5.60441,3.33963,50,4.68074,-14.93285,-133.70797,-2.68061,17.71935,29.00717,-22.035,"Visitors","USA","Coleman Field","USA Baseball","USA",92.43196,NA,8.22807,NA,NA,NA,2024-06-01,1899-12-31 00:21:50,NA,"v3","Catcher 2","Right","USA",53.87271,-134.54551,14.50358,4.74895,-2.04439,-11.0175,3.77818,-15.44447,8.85968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
93,2024-06-01,1899-12-31 00:22:06,5,6,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,3,2,"Sinker","Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,93.07119,0.313169,4.919687,2132.088996,113.565813,1899-12-31 09:45:00,4.74472,-3.62315,6.51416,-24.50013,7.11268,-14.03627,2.99149,"-0.26717999999999997",84.99418,-4.295607,2.384227,0.404672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68067,3.94725,3.28487,50,4.75603,-11.04007,-134.914,-0.03521,16.01943,29.00985,-24.88972,"Visitors","USA","Coleman Field","USA Baseball","USA",93.14319,NA,8.07702,NA,NA,NA,2024-06-01,1899-12-31 00:22:06,NA,"v3","Catcher 2","Right","USA",53.98658,-135.76851,14.50493,4.74627,0.69793,-12.44486,3.61701,-11.51194,8.00971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
94,2024-06-01,1899-12-31 00:22:33.8,5,7,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,3,2,"Sinker","Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,93.01082,-0.074618,5.951864,2203.227748,124.611419,1899-12-31 10:15:00,4.62436,-3.50839,6.70251,-20.3482,11.41178,-14.97202,2.86008,"0.70574000000000003",84.23576,-3.95861,3.245832,0.405613,77.38895,35.303771,-138.68945,5138.985689,NA,NA,NA,NA,52.2177,NA,NA,9.63941,6.35752,3.11671,50,4.61121,-13.42736,-134.54129,-0.75104,17.55121,31.0003,-20.59843,"Visitors","USA","Coleman Field","USA Baseball","USA",92.92714,31.62752,8.77506,-0.29633,2.68016,-0.67183,2024-06-01,1899-12-31 00:22:33.8,NA,"v3","Catcher 2","Right","USA",53.79719,-135.4134,15.50015,4.62419,-0.17157,-10.29921,3.50139,-13.92111,8.7756,NA,-0.29633,-69.57853,0.82334,2.59808,-1.20364,0.42043,-0.12513,0.03084,"-4.1999999999999997E-3",2.68016,65.59503,-32.13443,4.8625,-0.95334,0.15454,-0.02288,0.00382,"-8.8999999999999995E-4",-0.67183,-61.14893,20.90771,-6.42042,1.73098,-0.42385,0.10746,"-2.7369999999999998E-2","5.3099999999999996E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Low",NA,NA,NA
95,2024-06-01,1899-12-31 00:22:55.4,5,8,"Pitcher 2","Left","USA","Hitter 17","Left","Visitors","Undefined",2,"Bottom",2,3,2,"Sinker","Sinker","InPlay","Undefined","GroundBall","Out",1,0,92.64767,-0.122572,5.317493,2204.437161,107.601132,1899-12-31 09:30:00,4.68931,-3.66222,6.32857,-26.21289,5.94363,-15.54906,2.39155,"-4.7059999999999998E-2",84.66957,-5.022829,2.520488,0.408137,85.00322,-3.696008,-21.205998,NA,NA,NA,NA,25.17454,24.59441,-22.143248,0.207619,9.56245,3.42689,3.28036,50,4.66786,-11.85302,-134.20567,-1.15308,17.46597,28.64407,-25.91476,"Visitors","USA","Coleman Field","USA Baseball","USA",92.35241,2.32681,7.9781,0.05338,2.32681,-0.04037,2024-06-01,1899-12-31 00:22:55.4,"GroundBall","v3","Catcher 2","Right","USA",54.17316,-135.09343,14.32203,4.69116,-0.34991,-12.95738,3.6561,-12.39434,8.73298,85.305078,0.05461,115.90886,-18.62682,NA,NA,NA,NA,NA,NA,2.32736,-8.07199,-15.12573,NA,NA,NA,NA,NA,NA,-0.03984,-45.03651,-2.29922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High",NA,NA,NA
96,2024-06-01,1899-12-31 00:25:22,1,1,"Pitcher 1","Right","Visitors","Hitter 4","Left","USA","Undefined",3,"Top",0,0,0,"Slider","Curveball","BallCalled","Undefined","Undefined","Undefined",0,0,78.04762,-1.097347,-1.574595,2492.0608,11.819034,1899-12-31 06:30:00,6.71873,1.63125,4.66926,-51.23373,-4.28921,-1.13102,1.40642,"4.1000000000000002E-2",73.76663,-10.180138,-1.773628,0.493133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22854,-1.60024,-1.46966,50,6.55944,3.16595,-113.50235,-4.09076,0.30521,16.14227,-34.31123,"Visitors","USA","Coleman Field","USA Baseball","USA",76.4347,NA,4.28099,NA,NA,NA,2024-06-01,1899-12-31 00:25:22,NA,"v3","Catcher 1","Right","Visitors",55.83599,-114.32932,8.07114,6.72398,-2.33297,-17.15561,-1.63145,3.15032,0.1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
97,2024-06-01,1899-12-31 00:25:35.6,1,2,"Pitcher 1","Right","Visitors","Hitter 4","Left","USA","Undefined",3,"Top",0,1,0,"Slider","Slider","StrikeSwinging","Undefined","Undefined","Undefined",0,0,79.173,-2.211738,-2.24251,2367.623708,166.375814,1899-12-31 11:30:00,6.63843,1.54642,4.85625,-42.32262,3.54484,-0.55232,1.01531,"-0.62341000000000002",73.97423,-9.779654,-2.339899,0.487443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26571,2.60217,-1.3246,50,6.38348,4.52123,-114.88952,-5.97269,-0.35967,18.7446,-28.65168,"Visitors","USA","Coleman Field","USA Baseball","USA",77.32689,NA,5.19876,NA,NA,NA,2024-06-01,1899-12-31 00:25:35.6,NA,"v3","Catcher 1","Right","Visitors",55.64702,-115.80719,9.3723,6.64155,-4.57001,-14.32584,-1.54637,4.53884,-0.17984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
98,2024-06-01,1899-12-31 00:25:49.6,1,3,"Pitcher 1","Right","Visitors","Hitter 4","Left","USA","Undefined",3,"Top",0,1,1,"Slider","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,78.15046,1.384331,-0.022386,2442.271266,70.254362,1899-12-31 08:15:00,6.63819,1.52988,4.43435,-47.52711,0.23287,-3.05122,3.99843,"1.2542599999999999",72.43735,-7.114594,-0.555831,0.497397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47764,0.1774,-1.52434,50,6.73827,0.17612,-113.45307,0.91847,1.94984,18.34051,-31.93995,"Visitors","USA","Coleman Field","USA Baseball","USA",75.77935,NA,5.7131,NA,NA,NA,2024-06-01,1899-12-31 00:25:49.6,NA,"v3","Catcher 1","Right","Visitors",56.06757,-114.42973,9.17026,6.64407,2.61933,-15.96998,-1.53095,0.07229,0.97492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
